Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Large Language Models for Forecasting and Anomaly Detection: A Systematic Literature Review","Large Language Models (LLMs) show potential in forecasting and anomaly detection, but face challenges like generalizability, model hallucinations, and computational resources.","Jing Su, Chufeng Jiang, Xin Jin, Tingsong Xiao, Hongda Ma, Rong Wei, Zhi Jing, Jiajun Xu, Junhong Lin",2024,128,"This systematic literature review comprehensively examines the application of Large Language Models (LLMs) in forecasting and anomaly detection, highlighting the current state of research, inherent challenges, and prospective future directions. LLMs have demonstrated significant potential in parsing and analyzing extensive datasets to identify patterns, predict future events, and detect anomalous behavior across various domains. However, this review identifies several critical challenges that impede their broader adoption and effectiveness, including the reliance on vast historical datasets, issues with generalizability across different contexts, the phenomenon of model hallucinations, limitations within the models' knowledge boundaries, and the substantial computational resources required. Through detailed analysis, this review discusses potential solutions and strategies to overcome these obstacles, such as integrating multimodal data, advancements in learning methodologies, and emphasizing model explainability and computational efficiency. Moreover, this review outlines critical trends that are likely to shape the evolution of LLMs in these fields, including the push toward real-time processing, the importance of sustainable modeling practices, and the value of interdisciplinary collaboration. Conclusively, this review underscores the transformative impact LLMs could have on forecasting and anomaly detection while emphasizing the need for continuous innovation, ethical considerations, and practical solutions to realize their full potential.","systematic review","ArXiv","","10.48550/arxiv.2402.10350","https://consensus.app/papers/large-language-models-for-forecasting-and-anomaly-su-jiang/991603056bfb59438498f748ae2c8798/"
"Large Language Models for Chatbot Health Advice Studies","Chatbot health advice studies show heterogeneous reporting quality, highlighting the need for improved ethical, regulatory, and patient safety considerations in their clinical integration.","Bright Huo, Amy Boyle, Nana Marfo, Wimonchat Tangamornsuksan, Jeremy P Steen, T. McKechnie, Yung Lee, Julio Mayol, Stavros A. Antoniou, A. Thirunavukarasu, Stephanie Sanger, K. Ramji, Gordon H. Guyatt",2025,60,"There is much interest in the clinical integration of large language models (LLMs) in health care. Many studies have assessed the ability of LLMs to provide health advice, but the quality of their reporting is uncertain. To perform a systematic review to examine the reporting variability among peer-reviewed studies evaluating the performance of generative artificial intelligence (AI)-driven chatbots for summarizing evidence and providing health advice to inform the development of the Chatbot Assessment Reporting Tool (CHART). A search of MEDLINE via Ovid, Embase via Elsevier, and Web of Science from inception to October 27, 2023, was conducted with the help of a health sciences librarian to yield 7752 articles. Two reviewers screened articles by title and abstract followed by full-text review to identify primary studies evaluating the clinical accuracy of generative AI-driven chatbots in providing health advice (chatbot health advice studies). Two reviewers then performed data extraction for 137 eligible studies. A total of 137 studies were included. Studies examined topics in surgery (55 [40.1%]), medicine (51 [37.2%]), and primary care (13 [9.5%]). Many studies focused on treatment (91 [66.4%]), diagnosis (60 [43.8%]), or disease prevention (29 [21.2%]). Most studies (136 [99.3%]) evaluated inaccessible, closed-source LLMs and did not provide enough information to identify the version of the LLM under evaluation. All studies lacked a sufficient description of LLM characteristics, including temperature, token length, fine-tuning availability, layers, and other details. Most studies (136 [99.3%]) did not describe a prompt engineering phase in their study. The date of LLM querying was reported in 54 (39.4%) studies. Most studies (89 [65.0%]) used subjective means to define the successful performance of the chatbot, while less than one-third addressed the ethical, regulatory, and patient safety implications of the clinical integration of LLMs. In this systematic review of 137 chatbot health advice studies, the reporting quality was heterogeneous and may inform the development of the CHART reporting standards. Ethical, regulatory, and patient safety considerations are crucial as interest grows in the clinical integration of LLMs.","systematic review","JAMA Network Open","1","10.1001/jamanetworkopen.2024.57879","https://consensus.app/papers/large-language-models-for-chatbot-health-advice-studies-huo-boyle/7f3b0e0d21a5500998c1c0438ab66062/"
"A Survey on Evaluating Large Language Models in Code Generation Tasks","This paper reviews current methods and metrics for evaluating Large Language Models (LLMs) in code generation tasks, highlighting limitations and suggesting improvements for future improvements.","Liguo Chen, Qi Guo, Hongrui Jia, Zhengran Zeng, Xin Wang, Yijiang Xu, Jian Wu, Yidong Wang, Qing Gao, Jindong Wang, Wei Ye, Shikun Zhang",2024,66,"This paper provides a comprehensive review of the current methods and metrics used to evaluate the performance of Large Language Models (LLMs) in code generation tasks. With the rapid growth in demand for automated software development, LLMs have demonstrated significant potential in the field of code generation. The paper begins by reviewing the historical development of LLMs and their applications in code generation. Next, it details various methods and metrics for assessing the code generation capabilities of LLMs, including code correctness, efficiency, readability, and evaluation methods based on expert review and user experience. The paper also evaluates the widely used benchmark datasets, identifying their limitations and proposing directions for future improvements. Specifically, the paper analyzes the performance of code generation models across different tasks by combining multiple evaluation metrics, such as code compilation/interpretation success rates, unit test pass rates, and performance and efficiency metrics, to comprehensively assess the practical application of LLMs in code generation. Finally, the paper discusses the challenges faced in evaluating LLMs in code generation, particularly how to ensure the comprehensiveness and accuracy of evaluation methods and how to adapt to the evolving practices of software development. These analyses and discussions provide valuable insights for further optimizing and improving the application of LLMs in code generation tasks.","literature review","ArXiv","","10.48550/arxiv.2408.16498","https://consensus.app/papers/a-survey-on-evaluating-large-language-models-in-code-chen-guo/520e96c0208b5a7998b603ebd076c599/"
"Synthetic data generation methods in healthcare: A review on open-source tools and methods","Synthetic data generation in healthcare helps reduce costs, enhance AI predictions, and ensure fair treatment recommendations across diverse patient populations.","V. Pezoulas, Dimitrios I. Zaridis, Eugenia Mylona, Christos Androutsos, Kosmas Apostolidis, N. Tachos, Dimitrios I. Fotiadis",2024,120,"","systematic review","Computational and Structural Biotechnology Journal","1","10.1016/j.csbj.2024.07.005","https://consensus.app/papers/synthetic-data-generation-methods-in-healthcare-a-review-pezoulas-zaridis/60741a5501335789abdd25025035a00b/"
"Safeguarding large language models: a survey","This paper reviews current safeguarding mechanisms for Large Language Models and suggests enhancing them by considering multidisciplinary approaches, neural-symbolic methods, and systems development lifecycle.","Yi Dong, Ronghui Mu, Yanghao Zhang, Siqi Sun, Tianle Zhang, Changshun Wu, Gao Jin, Yi Qi, Jinwei Hu, Jie Meng, S. Bensalem, Xiaowei Huang",2024,69,"In the burgeoning field of Large Language Models (LLMs), developing a robust safety mechanism, colloquially known as ""safeguards"" or ""guardrails"", has become imperative to ensure the ethical use of LLMs within prescribed boundaries. This article provides a systematic literature review on the current status of this critical mechanism. It discusses its major challenges and how it can be enhanced into a comprehensive mechanism dealing with ethical issues in various contexts. First, the paper elucidates the current landscape of safeguarding mechanisms that major LLM service providers and the open-source community employ. This is followed by the techniques to evaluate, analyze, and enhance some (un)desirable properties that a guardrail might want to enforce, such as hallucinations, fairness, privacy, and so on. Based on them, we review techniques to circumvent these controls (i.e., attacks), to defend the attacks, and to reinforce the guardrails. While the techniques mentioned above represent the current status and the active research trends, we also discuss several challenges that cannot be easily dealt with by the methods and present our vision on how to implement a comprehensive guardrail through the full consideration of multi-disciplinary approach, neural-symbolic method, and systems development lifecycle.","systematic review","Artificial Intelligence Review","1","10.1007/s10462-025-11389-2","https://consensus.app/papers/safeguarding-large-language-models-a-survey-dong-mu/52f8ea4c529d5720bfd6446687a953bc/"
"Large Language Model for Vulnerability Detection and Repair: Literature Review and the Road Ahead","This paper provides a systematic literature review of approaches to improve vulnerability detection and repair using Large Language Models (LLMs), identifying limitations and opportunities for future research.","Xin Zhou, Sicong Cao, Xiaobing Sun, David Lo",2024,70,"The significant advancements in Large Language Models (LLMs) have resulted in their widespread adoption across various tasks within Software Engineering (SE), including vulnerability detection and repair. Numerous studies have investigated the application of LLMs to enhance vulnerability detection and repair tasks. Despite the increasing research interest, there is currently no existing survey that focuses on the utilization of LLMs for vulnerability detection and repair. In this paper, we aim to bridge this gap by offering a systematic literature review of approaches aimed at improving vulnerability detection and repair through the utilization of LLMs. The review encompasses research work from leading SE, AI, and Security conferences and journals, encompassing 43 papers published across 25 distinct venues, along with 15 high-quality preprint papers, bringing the total to 58 papers. By answering three key research questions, we aim to (1) summarize the LLMs employed in the relevant literature, (2) categorize various LLM adaptation techniques in vulnerability detection, and (3) classify various LLM adaptation techniques in vulnerability repair. Based on our findings, we have identified a series of limitations of existing studies. Additionally, we have outlined a roadmap highlighting potential opportunities that we believe are pertinent and crucial for future research endeavors.","systematic review","ACM Transactions on Software Engineering and Methodology","1","10.1145/3708522","https://consensus.app/papers/large-language-model-for-vulnerability-detection-and-zhou-cao/6d46f168f54a5557928be22b39728c7a/"
"Vision-Language-Action Models for Robotics: A Review Towards Real-World Applications","Vision-Language-Action (VLA) models can enable flexible and scalable real-world robotic systems by unifying vision, language, and action data, enabling novel tasks with minimal task-specific data.","Kento Kawaharazuka, Jihoon Oh, Jun Yamada, Ingmar Posner, Yuke Zhu",2025,24,"Amid growing efforts to leverage advances in large language models (LLMs) and vision-language models (VLMs) for robotics, Vision-Language-Action (VLA) models have recently gained significant attention. By unifying vision, language, and action data at scale, which have traditionally been studied separately, VLA models aim to learn policies that generalise across diverse tasks, objects, embodiments, and environments. This generalisation capability is expected to enable robots to solve novel downstream tasks with minimal or no additional task-specific data, facilitating more flexible and scalable real-world deployment. Unlike previous surveys that focus narrowly on action representations or high-level model architectures, this work offers a comprehensive, full-stack review, integrating both software and hardware components of VLA systems. In particular, this paper provides a systematic review of VLAs, covering their strategy and architectural transition, architectures and building blocks, modality-specific processing techniques, and learning paradigms. In addition, to support the deployment of VLAs in real-world robotic applications, we also review commonly used robot platforms, data collection strategies, publicly available datasets, data augmentation methods, and evaluation benchmarks. Throughout this comprehensive survey, this paper aims to offer practical guidance for the robotics community in applying VLAs to real-world robotic systems. All references categorized by training approach, evaluation method, modality, and dataset are available in the table on our project website: https://vla-survey.github.io","systematic review","IEEE Access","1","10.1109/access.2025.3609980","https://consensus.app/papers/visionlanguageaction-models-for-robotics-a-review-kawaharazuka-oh/84a83431190c5bb0bfb756118f6c05b4/"
"A scoping review of large language model based approaches for information extraction from radiology reports","Large Language Model-based approaches for information extraction from radiology reports show potential, but require external validation and augmentation to improve comparability and transparency.","Daniel Reichenpfader, H. Müller, Kerstin Denecke",2024,43,"Radiological imaging is a globally prevalent diagnostic method, yet the free text contained in radiology reports is not frequently used for secondary purposes. Natural Language Processing can provide structured data retrieved from these reports. This paper provides a summary of the current state of research on Large Language Model (LLM) based approaches for information extraction (IE) from radiology reports. We conduct a scoping review that follows the PRISMA-ScR guideline. Queries of five databases were conducted on August 1st 2023. Among the 34 studies that met inclusion criteria, only pre-transformer and encoder-based models are described. External validation shows a general performance decrease, although LLMs might improve generalizability of IE approaches. Reports related to CT and MRI examinations, as well as thoracic reports, prevail. Most common challenges reported are missing validation on external data and augmentation of the described methods. Different reporting granularities affect the comparability and transparency of approaches.","systematic review","NPJ Digital Medicine","1","10.1038/s41746-024-01219-0","https://consensus.app/papers/a-scoping-review-of-large-language-model-based-approaches-reichenpfader-m%C3%BCller/eedcb2d3b10655fea88e5510840b1b0f/"
"Performance of an Open-Source Large Language Model in Extracting Information from Free-Text Radiology Reports","An open-source large language model (LLM) accurately extracts information from free-text radiology reports, with excellent sensitivity and specificity for detecting headaches, detecting contrast medium injections, and categorizing studies as normal or abnormal.","Bastien Le Guellec, Alexandre Lefèvre, Charlotte Geay, Lucas Shorten, Cyril Bruge, Lotfi Hacein-Bey, P. Amouyel, J. Pruvo, G. Kuchcinski, A. Hamroun",2024,72,"Purpose To assess the performance of a local open-source large language model (LLM) in various information extraction tasks from real-life emergency brain MRI reports. Materials and Methods All consecutive emergency brain MRI reports written in 2022 from a French quaternary center were retrospectively reviewed. Two radiologists identified MRI scans that were performed in the emergency department for headaches. Four radiologists scored the reports' conclusions as either normal or abnormal. Abnormalities were labeled as either headache-causing or incidental. Vicuna (LMSYS Org), an open-source LLM, performed the same tasks. Vicuna's performance metrics were evaluated using the radiologists' consensus as the reference standard. Results Among the 2398 reports during the study period, radiologists identified 595 that included headaches in the indication (median age of patients, 35 years [IQR, 26-51 years]; 68% [403 of 595] women). A positive finding was reported in 227 of 595 (38%) cases, 136 of which could explain the headache. The LLM had a sensitivity of 98.0% (95% CI: 96.5, 99.0) and specificity of 99.3% (95% CI: 98.8, 99.7) for detecting the presence of headache in the clinical context, a sensitivity of 99.4% (95% CI: 98.3, 99.9) and specificity of 98.6% (95% CI: 92.2, 100.0) for the use of contrast medium injection, a sensitivity of 96.0% (95% CI: 92.5, 98.2) and specificity of 98.9% (95% CI: 97.2, 99.7) for study categorization as either normal or abnormal, and a sensitivity of 88.2% (95% CI: 81.6, 93.1) and specificity of 73% (95% CI: 62, 81) for causal inference between MRI findings and headache. Conclusion An open-source LLM was able to extract information from free-text radiology reports with excellent accuracy without requiring further training.Large Language Model (LLM), Generative Pretrained Transformers (GPT), Open Source, Information Extraction, Report, Brain, MRIPublished under a CC BY 4.0 license. See also the commentary by Akinci D'Antonoli and Bluethgen in this issue.","non-rct observational study","Radiology: Artificial Intelligence","1","10.1148/ryai.230364","https://consensus.app/papers/performance-of-an-opensource-large-language-model-in-guellec-lef%C3%A8vre/e34ee32711a0512c9babe2b12f6a7f2f/"
"When AIs Judge AIs: The Rise of Agent-as-a-Judge Evaluation for LLMs","AI agents can complement human evaluation in assessing the quality and safety of large language models, offering scalable alternatives to human oversight in various domains.","Fangyi Yu",2025,3,"As large language models (LLMs) grow in capability and autonomy, evaluating their outputs-especially in open-ended and complex tasks-has become a critical bottleneck. A new paradigm is emerging: using AI agents as the evaluators themselves. This""agent-as-a-judge""approach leverages the reasoning and perspective-taking abilities of LLMs to assess the quality and safety of other models, promising calable and nuanced alternatives to human evaluation. In this review, we define the agent-as-a-judge concept, trace its evolution from single-model judges to dynamic multi-agent debate frameworks, and critically examine their strengths and shortcomings. We compare these approaches across reliability, cost, and human alignment, and survey real-world deployments in domains such as medicine, law, finance, and education. Finally, we highlight pressing challenges-including bias, robustness, and meta evaluation-and outline future research directions. By bringing together these strands, our review demonstrates how agent-based judging can complement (but not replace) human oversight, marking a step toward trustworthy, scalable evaluation for next-generation LLMs.","literature review","ArXiv","","10.48550/arxiv.2508.02994","https://consensus.app/papers/when-ais-judge-ais-the-rise-of-agentasajudge-evaluation-for-yu/3da3fbc0249c5b5b9327cddc035dae2c/"
"Large language models for generating medical examinations: systematic review","Large language models (LLMs) can produce competent medical exam questions, but their limitations must be considered.","Y. Artsi, Vera Sorin, Eli Konen, B. Glicksberg, Girish N. Nadkarni, Eyal Klang",2024,70,"Writing multiple choice questions (MCQs) for the purpose of medical exams is challenging. It requires extensive medical knowledge, time and effort from medical educators. This systematic review focuses on the application of large language models (LLMs) in generating medical MCQs. The authors searched for studies published up to November 2023. Search terms focused on LLMs generated MCQs for medical examinations. Non-English, out of year range and studies not focusing on AI generated multiple-choice questions were excluded. MEDLINE was used as a search database. Risk of bias was evaluated using a tailored QUADAS-2 tool. Overall, eight studies published between April 2023 and October 2023 were included. Six studies used Chat-GPT 3.5, while two employed GPT 4. Five studies showed that LLMs can produce competent questions valid for medical exams. Three studies used LLMs to write medical questions but did not evaluate the validity of the questions. One study conducted a comparative analysis of different models. One other study compared LLM-generated questions with those written by humans. All studies presented faulty questions that were deemed inappropriate for medical exams. Some questions required additional modifications in order to qualify. LLMs can be used to write MCQs for medical examinations. However, their limitations cannot be ignored. Further study in this field is essential and more conclusive evidence is needed. Until then, LLMs may serve as a supplementary tool for writing medical examinations. 2 studies were at high risk of bias. The study followed the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines.","systematic review","BMC Medical Education","1","10.1186/s12909-024-05239-y","https://consensus.app/papers/large-language-models-for-generating-medical-artsi-sorin/5bfdae4957d65d3c9f9f648c8a7b8482/"
"Performance of a Large Language Model in Screening Citations","Large language models (LLMs) can effectively perform citation screening in systematic reviews, demonstrating acceptable sensitivity and high specificity while reducing processing time compared to conventional methods.","Takehiko Oami, Y. Okada, T.-a. Nakada",2024,41,"Large language models (LLMs) are promising as tools for citation screening in systematic reviews. However, their applicability has not yet been determined. To evaluate the accuracy and efficiency of an LLM in title and abstract literature screening. This prospective diagnostic study used the data from the title and abstract screening process for 5 clinical questions (CQs) in the development of the Japanese Clinical Practice Guidelines for Management of Sepsis and Septic Shock. The LLM decided to include or exclude citations based on the inclusion and exclusion criteria in terms of patient, population, problem; intervention; comparison; and study design of the selected CQ and was compared with the conventional method for title and abstract screening. This study was conducted from January 7 to 15, 2024. LLM (GPT-4 Turbo)-assisted citation screening or the conventional method. The sensitivity and specificity of the LLM-assisted screening process was calculated, and the full-text screening result using the conventional method was set as the reference standard in the primary analysis. Pooled sensitivity and specificity were also estimated, and screening times of the 2 methods were compared. In the conventional citation screening process, 8 of 5634 publications in CQ 1, 4 of 3418 in CQ 2, 4 of 1038 in CQ 3, 17 of 4326 in CQ 4, and 8 of 2253 in CQ 5 were selected. In the primary analysis of 5 CQs, LLM-assisted citation screening demonstrated an integrated sensitivity of 0.75 (95% CI, 0.43 to 0.92) and specificity of 0.99 (95% CI, 0.99 to 0.99). Post hoc modifications to the command prompt improved the integrated sensitivity to 0.91 (95% CI, 0.77 to 0.97) without substantially compromising specificity (0.98 [95% CI, 0.96 to 0.99]). Additionally, LLM-assisted screening was associated with reduced time for processing 100 studies (1.3 minutes vs 17.2 minutes for conventional screening methods; mean difference, -15.25 minutes [95% CI, -17.70 to -12.79 minutes]). In this prospective diagnostic study investigating the performance of LLM-assisted citation screening, the model demonstrated acceptable sensitivity and reasonably high specificity with reduced processing time. This novel method could potentially enhance efficiency and reduce workload in systematic reviews.","meta-analysis","JAMA Network Open","1","10.1001/jamanetworkopen.2024.20496","https://consensus.app/papers/performance-of-a-large-language-model-in-screening-oami-okada/00bf14e65b3d5db49180bd4597607b7d/"
